"tab_code","表章項目","cat01_code","労働力状態３区分_時系列","cat02_code","男女_時系列","area_code","地域_時系列","time_code","時間軸（調査年）","unit","value"
"320","15歳以上人口","100","総数","100","総数","15000","新潟県","1955000000","1955年","人","1600412"
"320","15歳以上人口","100","総数","100","総数","15000","新潟県","1960000000","1960年","人","1643229"
"320","15歳以上人口","100","総数","100","総数","15000","新潟県","1965000000","1965年","人","1736472"
"320","15歳以上人口","100","総数","100","総数","15000","新潟県","1970000000","1970年","人","1787568"
"320","15歳以上人口","100","総数","100","総数","15000","新潟県","1975000000","1975年","人","1834423"
"320","15歳以上人口","100","総数","100","総数","15000","新潟県","1980000000","1980年","人","1898843"
"320","15歳以上人口","100","総数","100","総数","15000","新潟県","1985000000","1985年","人","1954816"
"320","15歳以上人口","100","総数","100","総数","15000","新潟県","1990000000","1990年","人","2010186"
"320","15歳以上人口","100","総数","100","総数","15000","新潟県","1995000000","1995年","人","2080953"
"320","15歳以上人口","100","総数","100","総数","15000","新潟県","2000000000","2000年","人","2107298"
"320","15歳以上人口","100","総数","100","総数","15000","新潟県","2005000000","2005年","人","2095608"
"320","15歳以上人口","100","総数","100","総数","15000","新潟県","2010000000","2010年","人","2062449"
"320","15歳以上人口","100","総数","100","総数","15000","新潟県","2015000000","2015年","人","2018538"
"320","15歳以上人口","100","総数","100","総数","15000","新潟県","2020000000","2020年","人","1926852"
"320","15歳以上人口","100","総数","100","総数","15000","新潟県","2015000010","2015年_不詳補完値","人","2018538"
"320","15歳以上人口","100","総数","100","総数","15000","新潟県","2020000010","2020年_不詳補完値","人","1926852"
"320","15歳以上人口","100","総数","100","総数","16000","富山県","1950000000","1950年","人","670266"
"320","15歳以上人口","100","総数","100","総数","16000","富山県","1955000000","1955年","人","673617"
"320","15歳以上人口","100","総数","100","総数","16000","富山県","1960000000","1960年","人","724691"
"320","15歳以上人口","100","総数","100","総数","16000","富山県","1965000000","1965年","人","779181"
"320","15歳以上人口","100","総数","100","総数","16000","富山県","1970000000","1970年","人","800037"
"320","15歳以上人口","100","総数","100","総数","16000","富山県","1975000000","1975年","人","824289"
"320","15歳以上人口","100","総数","100","総数","16000","富山県","1980000000","1980年","人","853506"
"320","15歳以上人口","100","総数","100","総数","16000","富山県","1985000000","1985年","人","884374"
"320","15歳以上人口","100","総数","100","総数","16000","富山県","1990000000","1990年","人","923027"
"320","15歳以上人口","100","総数","100","総数","16000","富山県","1995000000","1995年","人","952959"
"320","15歳以上人口","100","総数","100","総数","16000","富山県","2000000000","2000年","人","963274"
"320","15歳以上人口","100","総数","100","総数","16000","富山県","2005000000","2005年","人","961241"
"320","15歳以上人口","100","総数","100","総数","16000","富山県","2010000000","2010年","人","947174"
"320","15歳以上人口","100","総数","100","総数","16000","富山県","2015000000","2015年","人","928444"
"320","15歳以上人口","100","総数","100","総数","16000","富山県","2020000000","2020年","人","901060"
"320","15歳以上人口","100","総数","100","総数","16000","富山県","2015000010","2015年_不詳補完値","人","928444"
"320","15歳以上人口","100","総数","100","総数","16000","富山県","2020000010","2020年_不詳補完値","人","901060"
